"CIRCUITO_N","TOTAL_VOTANTES","MASCULINO","FEMENINO","BARRIO","COMUNA","POBLACION_CENSO_2010","VIVIENDAS_CENSO_2010","HOGARES_CENSO_2010","HOGARES_NBI_CENSO_2010"
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
167,12095,5764,6331,"AGRONOMIA","15",1023,527,417,5
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
56,9544,5032,4512,"NUEVA POMPEYA","4",491,201,157,31
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
57,18768,9532,9236,"NUEVA POMPEYA","4",770,231,247,14
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
89,46140,23699,22441,"VILLA LUGANO","8",876,257,278,5
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
90,42538,21474,21064,"VILLA LUGANO","8",1147,271,331,21
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
112,8290,3945,4345,"FLORESTA","10",1094,474,436,98
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
111,13465,6463,7002,"FLORESTA","10",678,354,296,8
