"screen_name","retweet_screen_name","retweet_count"
"A_Carambia","DiGiacomoLuis",1
"A_Carambia","JoseLuisRamonOk",1
"Adriana_Ruarte","FerIglesias",1
"Adriana_Ruarte","hernanberisso",2
"AgriculturaAR","CancilleriaARG",2
"AgriculturaAR","CasaRosada",31
"AgriculturaAR","LEBasterra",8
"AgriculturaAR","MinSeg",1
"AgriculturaAR","ObrasPublicasAR",1
"AgriculturaAR","ciencia_ar",2
"AgriculturaAR","danielscioli",2
"AgriculturaAR","lmetchevehere",2
"AgriculturaAR","mauriciomacri",1
"AidaAyala","AgriculturaAR",1
"AidaAyala","CasaRosada",1
"AidaAyala","Guillodietrich",1
"AidaAyala","JosefaMendo",1
"AidaAyala","JulioMartinezLR",1
"AidaAyala","KBanfi",2
"AidaAyala","MSoleCarrizo",2
"AidaAyala","MinSeg",1
"AidaAyala","SahadJulio",1
"AidaAyala","UCRNacional",2
"AidaAyala","WolffWaldo",1
"AidaAyala","estelaregidorok",1
"AidaAyala","fabiojquetglas",1
"AidaAyala","frigeriorogelio",1
"AidaAyala","gabrielamlena",1
"AidaAyala","gustamenna",1
"AidaAyala","ines_byd",1
"AidaAyala","marioraulnegri",2
"AidaAyala","mauriciomacri",1
"AlciraArgumedo","AlciraArgumedo",35
"AlciraArgumedo","dmvasco",1
"AlciraArgumedo","joseluisgioja",1
"AleBermejoMza","anabelfsagasti",1
"AleBermejoMza","trottanico",1
"Ale_Bodart","Ale_Bodart",1
"AlejandraObeid","CasaRosada",1
"AlejandraObeid","FrenteDeTodos",18
"AlejandraObeid","Martin_M_Guzman",2
"AlejandraObeid","SantiCafiero",1
"AlejandraObeid","alferdez",1
"Alfreschiavoni","AgriculturaAR",1
"Alfreschiavoni","CancilleriaARG",1
"Alfreschiavoni","FerIglesias",10
"Alfreschiavoni","Guillodietrich",1
"Alfreschiavoni","JCanoOK",2
"Alfreschiavoni","JnmLopez",2
"Alfreschiavoni","LaspinaL",4
"Alfreschiavoni","MartinGrandeok",1
"Alfreschiavoni","MercedesJoury",2
"Alfreschiavoni","MiguelPichetto",1
"Alfreschiavoni","PatoBullrich",12
"Alfreschiavoni","SchiavoniH",2
"Alfreschiavoni","Sofiabrambilla",1
"Alfreschiavoni","SoherElSukaria",18
"Alfreschiavoni","VMoralesGorleri",2
"Alfreschiavoni","WolffWaldo",1
"Alfreschiavoni","_alvarogonzalez",4
"Alfreschiavoni","alfredocornejo",1
"Alfreschiavoni","alfredodeangeli",4
"Alfreschiavoni","atiliobenedetti",1
"Alfreschiavoni","cristianritondo",6
"Alfreschiavoni","diegosantilli",2
"Alfreschiavoni","enriquezjorge",6
"Alfreschiavoni","frigeriorogelio",1
"Alfreschiavoni","fsancheznqn",2
"Alfreschiavoni","gustamenna",2
"Alfreschiavoni","herlombardi",4
"Alfreschiavoni","hernanberisso",2
"Alfreschiavoni","hernanlacunza",2
"Alfreschiavoni","laurmachado",2
"Alfreschiavoni","lmetchevehere",1
"Alfreschiavoni","luispetri",4
"Alfreschiavoni","marioraulnegri",8
"Alfreschiavoni","mauriciomacri",1
"Alfreschiavoni","omardemarchi",4
"Alfreschiavoni","produccion_arg",1
"Alfreschiavoni","slospennato",2
"AliAparicioOK","FrenteDeTodos",1
"AliAparicioOK","FrenteRenovador",28
"AliAparicioOK","Kicillofok",2
"AliAparicioOK","Martin_M_Guzman",2
"AliAparicioOK","SergioMassa",2
"AliAparicioOK","alferdez",4
"AliAparicioOK","ceciliamoreauok",3
"AliAparicioOK","mariomeoni",1
"AliciaTerada_","JnmLopez",2
"AliciaTerada_","M_Campagnoli",1
"AliciaTerada_","MarianStil",1
"AliciaTerada_","Maxiferraro",1
"AliciaTerada_","MonicaFradeok",10
"AliciaTerada_","TotyFlores",1
"AliciaTerada_","elisacarrio",32
"AliciaTerada_","pau_oliveto",2
"AlmaSapag","OmarGutierrezOk",2
"AlumeKarim","ceciliamoreauok",7
"AnaAlmironCtes","AnaMariaIanni",2
"AnaAlmironCtes","CFKArgentina",1
"AnaAlmironCtes","FrenteDeTodos",2
"AnaAlmironCtes","Martin_M_Guzman",2
"AnaAlmironCtes","SantiCafiero",1
"AnaAlmironCtes","eugecatalfamo",2
"AnaAlmironCtes","gabicerru",1
"AnaAlmironCtes","ginesggarcia",1
"AnaAlmironCtes","sacnun",1
"AnaAlmironCtes","wadodecorrido",1
"AnaMariaIanni","EducacionAR",1
"AnaMariaIanni","FrenteDeTodos",2
"AndresZottos","UrtubeyJM",1
"AntonioBonfatti","MiguelLifschitz",1
"AntonioBonfatti","vikidonda",1
"ArabelaCarreras","DiGiacomoLuis",1
"ArabelaCarreras","Weretilneck",2
