fid,FUNCION_PR,SUBCATEGOR,ESTABLECIM,FUNCION_SE,PROGRAMACI,SUCURSAL,SALA,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,LATITUD,LONGITUD,TELEFONO,MAIL,WEB,FACEBOOK,TWITTER,INSTAGRAM,CAMARA_1,CAMARA_2,REDES,PUNTO_DE_C,OTRAS_REDE,CAPACIDAD_
1,BAR,NOTABLE,8 ESQUINAS,,,,,FOREST AV. 1186,FOREST AV.,1186,CHACARITA,COMUNA 15,-34.578517286755627,-58.460137150969530,4554-5129,INFO@OCHOESQUINAS.COM.AR,WWW.OCHOESQUINAS.COM.AR,https://www.facebook.com/8esquinasbar/,,@8esquinasbar,,,,,,0
2,ESPACIO DE FORMACION,,ESCUELA METROPOLITANA DE ARTE DRAMATICA,,,FOREST,ANEXO 3,FOREST AV. 933,FOREST AV.,933,CHACARITA,COMUNA 15,-34.581637899999997,-58.457071599999999,,,,,,,,,,,,0
3,ESPACIO ESCENICO,CLUB DE MUSICA EN VIVO,GIER MUSIC,,SI,,,ALVAREZ THOMAS AV. 1078,ALVAREZ THOMAS AV.,1078,CHACARITA,COMUNA 15,-34.578781917901985,-58.456857156747837,15-6423-8444,bandas@giermusicclub.com.ar,http://www.giermusicclub.com.ar,https://www.facebook.com/GierMusicClub/,,https://www.instagram.com/giermusicclub/,,,,,,265
4,MONUMENTOS Y LUGARES HISTORICOS,,BOVEDA QUE GUARDA LOS RESTOS DE CARLOS GARDEL,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
5,MONUMENTOS Y LUGARES HISTORICOS,,ARCHIVO HISTORICO DEL CREMATORIO MUNICIPAL,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
6,MONUMENTOS Y LUGARES HISTORICOS,,CREMATORIO MUNICIPAL,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
7,MONUMENTOS Y LUGARES HISTORICOS,,JORGE ALEJANDRO NEWBERY,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
8,MONUMENTOS Y LUGARES HISTORICOS,,JUAN BAUTISTA AMBROSETTI,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
9,MONUMENTOS Y LUGARES HISTORICOS,,MANUEL G. ARGERICH,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
10,LIBRERIA,,ALEJANDRO FRANK,,,,,PALPA 3763,PALPA,3763,CHACARITA,COMUNA 15,-34.582140500000001,-58.455168800000003,,,,,,,,,,,,0
11,ESPACIO ESCENICO,OTROS,SENTIMIENTO,,,,,LACROZE. FEDERICO AV. 4181,LACROZE. FEDERICO AV.,4181,CHACARITA,COMUNA 15,-34.587135577763220,-58.455100933453096,4552-2257,,WWW.MUTUALSENTIMIENTO.ORG.AR,WWW.FACEBOOK.COM/SENTIMIENTOMUTUAL/,,https://www.instagram.com/mutualsentimiento/,,,,,,0
12,BAR,NOTABLE,CAFE PALACIO,,,,,LACROZE. FEDERICO AV. 3901,LACROZE. FEDERICO AV.,3901,CHACARITA,COMUNA 15,-34.584400804029052,-58.453573487673737,4554-5529,,WWW.MUSEOFOTOGRAFICOSIMIK.COM,,,,,,,,,0
13,ESPACIO DE EXHIBICION,MUSEO,MUSEO FOTOGRAFICO SIMIK,,,,,LACROZE. FEDERICO AV. 3901,LACROZE. FEDERICO AV.,3901,CHACARITA,COMUNA 15,-34.584400804029052,-58.453573487673737,4554-5529 /  4560-43,INFO@SIMIK.COM.AR,HTTP://MUSEOFOTOGRAFICOSIMIK.COM/,,,,,,,,,0
14,LIBRERIA,,EL EXTRANJERO LIBROS Y CINE,,,,,OLLEROS 4128,OLLEROS,4128,CHACARITA,COMUNA 15,-34.586620439999997,-58.453342900000003,,,,,,,,,,,,0
15,ESPACIO ESCENICO,SALA DE TEATRO,ROSETI,,,,,ROSETI 722,ROSETI,722,CHACARITA,COMUNA 15,-34.583222005350798,-58.453304352406235,5179-0527,ROSETIESPACIO@GMAIL.COM,,WWW.FACEBOOK.COM/ROSETIESPACIODEARTE/,,,,,,,,91
16,BAR,CULTURAL,LA GENTILEZA,,,,,LACROZE. FEDERICO AV. 3800,LACROZE. FEDERICO AV.,3800,CHACARITA,COMUNA 15,-34.583290385833521,-58.452621139602428,,,,,,,,,,,,0
17,LIBRERIA,,LA COMARCA LIBROS (LACROZE),,,,,"LACROZE, FEDERICO AV. 3645","LACROZE, FEDERICO AV.",3645,CHACARITA,COMUNA 15,-34.582040999999997,-58.452045900000002,,,,,,,,,,,,0
18,ESPACIO DE EXHIBICION,GALERIA DE ARTE,RUBY,,,,,FOREST AV. 379,FOREST AV.,379,CHACARITA,COMUNA 15,-34.587411067962492,-58.451816496220708,,galeriaruby@gmail.com,http://www.galeriaruby.com.ar/,https://www.facebook.com/galeriaruby,,@rubygaleria,,,,,,0
19,ESPACIO DE EXHIBICION,MUSEO,MUSEO ANCONETANI DEL ACORDEON,,,,,GUEVARA 492,GUEVARA,492,CHACARITA,COMUNA 15,-34.586460899999999,-58.451630600000001,4553-9440,INFO@ANCONETANI.NET,WWW.ANCONETANI.NET,https://www.facebook.com/www.anconetani.net/,,,,,,,,0
20,CENTRO CULTURAL,,ESPACIO CULTURAL CARLOS GARDEL,ESPACIO ESCENICO,SI,,,OLLEROS 3640,OLLEROS,3640,CHACARITA,COMUNA 15,-34.582528987581171,-58.450911770110380,4552-4229,PROGRAMACIONCARLOSGARDEL@GMAIL.COM,HTTP://WWW.BUENOSAIRES.GOB.AR/CULTURA/PROMOCION/ESPACIOSCULTURALES/GARDEL,https://www.facebook.com/espaciogardel/,,,,,,,,180
21,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LA ASOCIACION ESPANOLA DE SOCORROS MUTUOS,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
22,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LA ASOCIACION FRANCESA FILANTROPICA Y DE BENEFICENCIA,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
23,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LA SOCIEDAD DE SOCORROS MUTUOS SAN CRISPIN,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
24,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LA SOCIETE FRANCAISE DE SECOURS MUTUELS DE BUENOS AIRES,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
25,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DE LOS PADRES SALESIANOS,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
26,MONUMENTOS Y LUGARES HISTORICOS,,PANTEON DEL CENTRO GALLEGO,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.587229999999998,-58.455849999999998,,,,,,,,,,,,0
27,BIBLIOTECA,HISTORICA,BIBLIOTECA MUSEO SIMIK,,,,,"LACROZE, FEDERICO AV. 3901","LACROZE, FEDERICO AV.",3901,CHACARITA,COMUNA 15,-34.584400804029052,-58.453573487673737,4554-5529,,MUSEOFOTOGRAFICOSIMIK.COM/BIBLIOTECA,,,,,,,,,0
28,BIBLIOTECA,POPULAR,BIBLIOTECA POPULAR EUSTAQUIO SANCHEZ,,,,,GUEVARA 464,GUEVARA,464,CHACARITA,COMUNA 15,-34.586599696288687,-58.451276446013580,4553-3560,,,,,,CONABIP,,,,,0
29,CENTRO CULTURAL,,EL TALLER DE OMAR,,,,,FITZ ROY 1243,FITZ ROY,1243,CHACARITA,COMUNA 15,-34.588038708251588,-58.440716350055894,3479-0991 / 4202-4158,DANTELOTITO@GMAIL.COM,,,,,,,,,,120
30,ESPACIO ESCENICO,SALA DE TEATRO,EL MUERERIO TEATRO,ESPACIO DE FORMACION,SI,,,CORDOBA AV. 5520,CORDOBA AV.,5520,CHACARITA,COMUNA 15,-34.588013047978137,-58.439700063054801,3579-0469,INFO@ELMUERERIOTEATRO.COM,WWW.ELMUERERIOTEATRO.COM,WWW.FACEBOOK.COM/EL.MUERERIO.TEATRO/,,https://www.instagram.com/elmuererioteatro/,,,,,,0
31,ESPACIO ESCENICO,CLUB DE MUSICA EN VIVO,ROY BAR,BAR,,,,JOSE ANOTONIO CABRERA 5600,JOSE ANOTONIO CABRERA,5600,CHACARITA,COMUNA 15,-34.587721199999997,-58.442390500000002,4774-7329,ARCADIATEINVITA@GMAIL.COM,,https://www.facebook.com/somosroy/,,,,,,,,0
32,ESPACIO DE EXHIBICION,MUSEO,MARGEN DEL MUNDO,,,,,ARENAL. CONCEPCION 4865,ARENAL. CONCEPCION,4865,CHACARITA,COMUNA 15,-34.596973900000002,-58.456780899999998,4857-1825,,HTTP://MARGENDELMUNDO.COM.AR/,,,,,,,,,0
33,ESPACIO DE EXHIBICION,GALERIA DE ARTE,VILLA Z,,,,,NUEVA ZELANDIA 4830,NUEVA ZELANDIA,4830,CHACARITA,COMUNA 15,-34.596948849707793,-58.455837049196617,5024-5131,miceliaudiovisual@gmail.com,,https://www.facebook.com/villazeta/,,,,,,,,0
34,MONUMENTOS Y LUGARES HISTORICOS,,CEMENTERIO DE LA CHACARITA - SECTOR IDENTIFICADO COMO SECCION 2. MANZANA 9. TABLON 13.,,,,,GARMENDIA AV. 4801,GARMENDIA AV.,4801,CHACARITA,COMUNA 15,-34.594169999999998,-58.464720000000000,,,,,,,,,,,,0
35,ESPACIO DE FORMACION,,ESCUELA METROPOLITANA DE ARTE DRAMATICA,,,LEIVA,ANEXO 2,LEIVA 4249,LEIVA,4249,CHACARITA,COMUNA 15,-34.592355400000002,-58.450036599999997,,,,,,,,,,,,0
36,ESPACIO ESCENICO,SALA DE TEATRO,ESPACIO TEATRAL ALQUIMIA,,,,,DUMONT. SANTOS 4392,DUMONT. SANTOS,4392,CHACARITA,COMUNA 15,-34.592328041013346,-58.453057445972128,6126-8837,TEATROALQUIMIA2014@GMAIL.COM,,https://www.facebook.com/Alquimia101teatro/,,https://www.instagram.com/alquimia101teatro/,,,,,,0
37,ESPACIO FERIAL,MANUALISTAS,PARQUE LOS ANDES,,,,,Av. Dorrego y Av. Corrientes,Av. Dorrego y Av. Corrientes,,CHACARITA,COMUNA 15,-34.591739788698227,-58.447896232942000,,,,,,,,,,,,0
38,CALESITA,,LA CALESITA DE PARQUE LOS ANDES,,,,,ARENAL. CONCEPCION,ARENAL. CONCEPCION,,CHACARITA,COMUNA 15,-34.591337074135275,-58.449735943660635,,,,,,,,,,,,0
39,BAR,CULTURAL,BAR RODNEY,,,,,RODNEY 400,RODNEY,400,CHACARITA,COMUNA 15,-34.591177405294552,-58.453081166212911,,,,,,,,,,,,0
40,ESPACIO ESCENICO,SALA DE TEATRO,TEATRO DEL PERRO,ESPACIO DE FORMACION,SI,,,BONPLAND 800,BONPLAND,800,CHACARITA,COMUNA 15,-34.590342200000002,-58.446112700000000,,TEATRODELPERRO@GMAIL.COM.AR,,WWW.FACEBOOK.COM/TEATRODEL.PERRO.3/,,https://www.instagram.com/teatrodelperro/,,,,,,80
41,CENTRO CULTURAL,,SANTOS 4040,"ESPACIO DE FORMACION, ESPACIO ESCENICO",SI,,,DUMONT. SANTOS 4040,DUMONT. SANTOS,4040,CHACARITA,COMUNA 15,-34.588670283298200,-58.449962800359813,,PROGRAMACION@SANTOS4040.COM.AR,WWW.SANTOS4040.COM.AR,WWW.FACEBOOK.COM/SANTOS4040/,,https://www.instagram.com/santos.4040/,ARTEI,MECA,,,,240
42,LIBRERIA,,LIBROSDEAUNO,,,,,DORREGO AV. 1102,DORREGO AV.,1102,CHACARITA,COMUNA 15,-34.588493600000000,-58.446032799999998,,,,,,,,,,,,0
43,BAR,CULTURAL,LOS 3 HERMANOS,,,,,FOREST AV. 317,FOREST AV.,317,CHACARITA,COMUNA 15,-34.588359099999998,-58.450947900000003,,,,,,,,,,,,0
44,ESPACIO DE EXHIBICION,GALERIA DE ARTE,EXPERIENCIA HIEDRA,,,,,GUEVARA 202,GUEVARA,202,CHACARITA,COMUNA 15,-34.587813759893187,-58.448248004021835,,Paula Salischicker,http://www.hiedra.org/,https://www.facebook.com/experienciaHIEDRA/,,@experiencia_hiedra,,,,,,0
45,MONUMENTOS Y LUGARES HISTORICOS,,PORTAL DE ACCESO Y CAPILLA DEL CEMENTERIO ALEMAN,,,,,GARMENDIA AV. 4838,GARMENDIA AV.,4838,CHACARITA,COMUNA 15,-34.591000000000001,-58.459719999999997,,,,,,,,,,,,0
46,MONUMENTOS Y LUGARES HISTORICOS,,ARCHIVO HISTORICO DEL CEMENTERIO DE LA CHACARITA,,,,,GUZMAN AV. 680,GUZMAN AV.,680,CHACARITA,COMUNA 15,-34.587780000000002,-58.456389999999999,,,,,,,,,,,,0
47,MONUMENTOS Y LUGARES HISTORICOS,,CAPILLA DEL CEMENTERIO BRITANICO,,,,,14 DE JULIO 294,14 DE JULIO,294,CHACARITA,COMUNA 15,-34.590280000000000,-58.465560000000004,,,,,,,,,,,,0
48,MONUMENTOS Y LUGARES HISTORICOS,,CECILIA GRIERSON,,,,,ELCANO 4701,ELCANO,,CHACARITA,COMUNA 15,-34.590730000000001,-58.466369999999998,,,,,,,,,,,,0
49,MONUMENTOS Y LUGARES HISTORICOS,,CORONEL JUAN BAUTISTA THORNE,,,,,ELCANO 4701,ELCANO,,CHACARITA,COMUNA 15,-34.590730000000001,-58.466369999999998,,,,,,,,,,,,0
50,MONUMENTOS Y LUGARES HISTORICOS,,FRANCIS AMSTRONG DE BESSLER,,,,,ELCANO 4701,ELCANO,,CHACARITA,COMUNA 15,-34.590730000000001,-58.466369999999998,,,,,,,,,,,,0
51,MONUMENTOS Y LUGARES HISTORICOS,,JENNIE HOWARD,,,,,ELCANO 4701,ELCANO,,CHACARITA,COMUNA 15,-34.590730000000001,-58.466369999999998,,,,,,,,,,,,0
52,MONUMENTOS Y LUGARES HISTORICOS,,MINNIE AMSTRONG DE RIDLEY,,,,,ELCANO 4701,ELCANO,,CHACARITA,COMUNA 15,-34.590730000000001,-58.466369999999998,,,,,,,,,,,,0
53,MONUMENTOS Y LUGARES HISTORICOS,,SARA ECCLESTON,,,,,ELCANO 4701,ELCANO,,CHACARITA,COMUNA 15,-34.590730000000001,-58.466369999999998,,,,,,,,,,,,0
54,MONUMENTOS Y LUGARES HISTORICOS,,THOMAS BRIDGES,,,,,ELCANO 4701,ELCANO,,CHACARITA,COMUNA 15,-34.590730000000001,-58.466369999999998,,,,,,,,,,,,0
